;Evaluation
937;1001.4060
938;884.5325
939;1074.9316
940;941.4997
941;655.9091
942;1161.3738
943;1259.0647
944;796.1338
945;841.3008
946;1377.4457
947;1684.4200
948;690.0285
949;759.9744
950;1689.7108
951;801.3323
952;952.5138
953;953.4472
954;694.3667
955;1092.0752
956;850.2987
957;806.4917
958;1095.4515
959;1395.1176
960;768.2429
961;732.6067
962;962.4805
963;770.8829
964;1102.1774
965;1187.8781
966;1103.9516
967;516.1403
968;911.7551
969;1108.0478
970;817.4001
971;676.1977
972;915.7931
973;1038.8265
974;974.8328
975;1560.6273
976;1301.4160
977;919.5851
978;1303.6588
979;580.3657
980;980.2825
981;872.3019
982;1047.6921
983;715.2875
984;1211.3866
985;1050.7917
986;1126.6967
987;877.2613
988;1215.5888
989;1317.8018
990;1130.4681
991;792.2679
992;721.1951
993;794.2602
994;1765.9063
995;1445.7389
996;1061.1268
997;724.4404
998;1771.7405
999;840.1905
1000;1065.1670
1001;1142.1634
1002;1777.5825
1003;1778.4664
1004;458.2894
1005;944.4745
1006;1460.5429
1007;804.2472
1008;805.1439
1009;806.0924
1010;1241.0631
1011;949.9869
1012;1154.4706
1013;622.5593
1014;852.8687
1015;1474.0426
1016;624.5927
1017;956.1961
1018;1355.5247
1019;1808.2534
1020;1357.0841
1021;1086.5968
1022;906.3840
1023;1166.2637
1024;584.0941
1025;564.9174
1026;745.6152
1027;1026.1541
1028;966.7303
1029;865.9152
1030;1097.7562
1031;1030.0188
1032;868.3282
1033;1179.3704
1034;787.1960
1035;1654.0095
1036;752.7728
1037;1506.4440
1038;1184.5570
1039;1508.5236
1040;593.5972
1041;1039.7300
1042;757.1174
1043;980.7354
1044;878.4453
1045;982.7314
1046;1286.0295
1047;1115.4888
1048;1116.4188
1049;986.0146
1050;932.1222
1051;1119.4784
1052;800.5723
1053;989.8694
1054;495.9027
1055;625.4262
1056;939.0686
1057;1127.8134
1058;1410.6808
1059;1693.7097
1060;847.8033
1061;1212.0742
1062;1132.1967
1063;809.6617
1064;1308.7586
1065;1064.3018
1066;1136.1841
1067;897.9327
1068;742.7191
1069;814.4037
1070;1222.5283
1071;951.7973
1072;1143.0879
1073;1319.8686
1074;954.1699
1075;1562.2727
1076;955.6642
1077;1564.7208
1078;1230.3447
1079;718.6552
1080;863.3274
1081;751.6738
1082;1081.4628
1083;1731.2360
1084;1443.6085
1085;788.3733
1086;1157.2056
1087;1929.5567
1088;1579.6329
1089;790.7692
1090;757.3384
1091;646.1010
1092;698.7430
1093;1344.6526
1094;874.9716
1095;1945.2524
1096;922.3790
1097;1169.2732
1098;836.1377
1099;976.4356
1100;1352.9068
1101;1353.8282
1102;1174.2492
1103;1175.1797
1104;1037.8605
1105;1177.1066
1106;1039.5600
1107;655.4972
1108;885.8652
1109;1182.0822
1110;1612.8344
1111;1044.5342
1112;1045.4068
1113;2539.6883
1114;1368.4432
1115;2542.2456
1116;774.6739
1117;1049.0263
1118;1487.0288
1119;850.6799
1120;851.6307
1121;1118.6991
1122;1279.4172
1123;543.7498
1124;1122.4185
1125;946.1393
1126;1383.7391
1127;1000.3085
1128;1385.9581
1129;901.8214
1130;1061.9039
1131;1129.2081
1132;1205.4137
1133;1206.3192
1134;1645.8864
1135;2263.9612
1136;1394.1241
1137;648.2339
1138;1009.3033
1139;1652.4941
1140;1515.6872
1141;2274.2741
1142;910.6560
1143;3036.3489
1144;793.0439
1145;869.5214
1146;870.4691
1147;1219.5847
1148;1525.3883
1149;1144.9698
1150;733.6993
1151;1019.9619
1152;1080.8975
1153;1021.7898
1154;1533.5920
1155;1083.4725
1156;801.7757
1157;1318.1284
1158;1154.2974
1159;972.9726
1160;804.7108
1161;1424.6371
1162;842.7712
1163;1427.1480
1164;1237.7095
1165;978.0281
1166;1430.3446
1167;979.6028
1168;1095.7887
1169;1331.5097
1170;1695.5485
1171;1244.3147
1172;778.6534
1173;1168.9152
1174;1169.8223
1175;1040.7268
1176;2082.2268
1177;781.7912
1178;988.4679
1179;1105.6978
1180;1709.6930
1181;896.5010
1182;942.2720
1183;1257.2909
1184;1451.6352
1185;1180.3838
1186;1349.9293
1187;859.9983
1188;1183.4296
1189;1114.7531
1190;1580.1420
1191;1265.0429
1192;1186.9114
1193;633.9830
1194;1268.8871
1195;1058.3490
1196;953.4612
1197;707.2254
1198;1005.9470
1199;547.0538
1200;833.3826
1201;1065.8171
1202;662.5055
1203;1068.3113
1204;1202.7848
1205;802.8004
1206;1071.2866
1207;1072.2298
1208;1207.1625
1209;840.7182
1210;1290.0330
1211;1075.9690
1212;1211.3946
1213;1616.1002
1214;1617.0143
1215;1294.5350
1216;1214.5560
1217;1080.5460
1218;1496.9850
1219;973.9851
1220;1771.7691
1221;1219.0244
1222;1394.0737
1223;1627.3314
1224;1776.1662
1225;2171.7549
1226;3258.4480
1227;1504.8175
1228;783.4558
1229;891.2418
1230;1783.3809
1231;1635.6788
1232;727.9270
1233;1092.8320
1234;1312.3277
1235;1790.4455
1236;1515.9036
1237;730.8376
1238;1316.4336
1239;1796.0431
1240;1098.5071
1241;899.7307
1242;1523.5379
1243;1043.3636
1244;763.4135
1245;1418.6951
1246;1656.0457
1247;1656.9546
1248;1047.4418
1249;1810.1232
1250;1532.5595
1251;1424.0151
1252;1662.2512
1253;1174.2756
1254;832.7327
1255;1111.2505
1256;1112.1917
1257;1113.0789
1258;1055.4388
1259;1254.2546
1260;2007.6911
1261;1004.7911
1262;1256.9244
1263;1059.4053
1264;1119.2007
1265;1439.8975
1266;531.4590
1267;1836.8457
1268;1347.9510
1269;2022.8223
1270;1065.5813
1271;1350.6651
1272;811.3554
1273;1353.1574
1274;1128.5608
1275;1016.6505
1276;1356.4534
1277;1071.7771
1278;1198.8032
1279;1359.5653
1280;1200.5547
1281;1276.5208
1282;786.5111
1283;890.0424
1284;1706.8276
1285;976.2744
1286;1465.3363
1287;1140.6469
1288;1467.4007
1289;1142.1989
1290;1028.9244
1291;763.1267
1292;1585.8713
1293;1085.9637
1294;1032.6124
1295;1377.6477
1296;1292.4759
1297;1293.4003
1298;2070.2384
1299;1381.0895
1300;1480.6517
1301;1296.4691
1302;1383.8251
1303;2307.2592
1304;1039.2141
1305;1299.9511
1306;867.5847
1307;1389.0651
1308;1737.2406
1309;1098.1485
1310;2087.3782
1311;1898.5176
1312;1161.1425
1313;950.9783
1314;1610.2559
1315;911.0989
1316;1612.8558
1317;1234.2815
1318;1749.4789
1319;1313.0237
1320;1001.3434
1321;1315.1937
1322;1053.1016
1323;1109.4086
1324;1054.8370
1325;1507.8344
1326;1408.2416
1327;1243.5014
1328;1113.4985
1329;683.4320
1330;606.2949
1331;1011.4421
1332;787.6380
1333;1064.2566
1334;1774.6678
1335;820.0380
1336;1255.0697
1337;2667.8503
1338;1186.6442
1339;1526.5396
1340;1527.4648
1341;2673.8961
1342;1646.3949
1343;1127.3740
1344;1785.9152
1345;1531.6994
1346;1430.5044
1347;1431.4316
1348;1652.5704
1349;1343.6419
1350;1195.2771
1351;1537.7086
1352;2153.6703
1353;1958.7841
1354;719.1854
1355;830.7890
1356;1662.4970
1357;1201.6345
1358;1545.8847
1359;1140.0130
1360;1354.7011
1361;2409.2349
1362;1668.8502
1363;1808.8157
1364;1277.7432
1365;1975.5994
1366;1144.7089
1367;907.1840
1368;1452.3928
1369;2421.5363
1370;1453.8481
1371;873.2651
1372;1149.9771
1373;1214.8059
1374;1682.9356
1375;1287.8889
1376;996.1348
1377;1993.1758
1378;1218.9937
1379;1372.2993
1380;1098.7873
1381;1157.5630
1382;1833.7225
1383;2751.4547
1384;881.4199
1385;1574.8881
1386;1470.8263
1387;1379.8334
1388;1299.6000
1389;3157.0241
1390;1164.0304
1391;1301.9134
1392;1476.4317
1393;1166.4973
1394;2217.2357
1395;1706.4801
1396;1479.8713
1397;1009.9553
1398;1852.4984
1399;1853.4091
1400;1112.9898
1401;1590.9040
1402;1714.2000
1403;969.8507
1404;1240.1949
1405;1718.1130
1406;1862.2018
1407;1065.0625
1408;1066.0126
1409;1866.4351
1410;1494.0780
1411;1724.8529
1412;1020.1783
1413;1247.8266
1414;2042.8045
1415;1249.3217
1416;1406.4223
1417;1407.3579
1418;1408.2917
1419;1503.1089
1420;2506.0253
1421;1327.6561
1422;2508.6541
1423;1882.4032
1424;1883.2769
1425;1413.3925
1426;1885.4292
1427;1509.2755
1428;2264.8071
1429;1510.7945
1430;1417.3028
1431;1890.6505
1432;1418.9231
1433;1336.3956
1434;1420.8505
1435;2842.5705
1436;1338.6095
1437;1339.5467
1438;2531.1382
1439;1085.7209
1440;1425.9428
1441;1902.1691
1442;1522.6606
1443;1269.8246
1444;1143.7881
1445;3268.8164
1446;1635.3334
1447;1347.6776
1448;1910.0969
1449;1911.0015
1450;956.4548
1451;1276.2147
1452;1641.7706
1453;1000.2931
1454;1211.8269
1455;2559.1867
1456;1355.8005
1457;1647.2550
1458;1282.1372
1459;1776.1867
1460;1777.1061
1461;1216.8595
1462;1652.3771
1463;1780.4018
1464;1103.1000
1465;858.9246
1466;2109.1303
1467;967.6350
1468;1106.7701
1469;1661.0785
1470;2114.9718
1471;1790.5102
1472;1552.7041
1473;1553.6226
1474;1665.5137
1475;1794.5468
1476;1944.9934
1477;1556.9182
1478;1374.6896
1479;1461.5416
