;Evaluation
1407;1260.1203
1408;1441.0595
1409;1187.6732
1410;2019.9392
1411;919.0839
1412;1348.9210
1413;1840.2526
1414;844.4051
1415;1559.8227
1416;1268.2848
1417;1845.5937
1418;1692.6843
1419;2539.8291
1420;884.3740
1421;1130.9753
1422;1273.2802
1423;1568.0357
1424;1274.9638
1425;1020.9100
1426;1459.3489
1427;1076.2544
1428;974.6978
1429;1204.9661
1430;1281.2094
1431;1465.1643
1432;1207.5425
1433;1467.2194
1434;822.5981
1435;1210.6405
1436;1470.9888
1437;981.5977
1438;1473.3094
1439;2947.4735
1440;1588.0211
1441;1475.5117
1442;1292.0091
1443;739.2532
1444;1294.6270
1445;1151.6926
1446;902.2782
1447;1221.6689
1448;2308.4801
1449;770.4544
1450;1486.8000
1451;2082.4148
1452;868.6300
1453;1227.2324
1454;1491.1350
1455;2610.3578
1456;1607.2923
1457;1900.4291
1458;1101.1870
1459;1163.3052
1460;1904.4846
1461;1905.3889
1462;953.6358
1463;1166.4885
1464;3000.3495
1465;1236.3671
1466;1402.1403
1467;1503.2181
1468;1108.5779
1469;1171.0999
1470;1757.5620
1471;1319.1068
1472;1508.4758
1473;2112.7628
1474;881.2717
1475;641.8927
1476;1115.7849
1477;1325.9242
1478;1179.5322
1479;1180.4595
1480;966.7821
1481;967.7298
1482;819.8079
1483;1640.5367
1484;928.2145
1485;1256.7566
1486;1069.1737
1487;1126.3882
1488;1529.5956
1489;1947.6195
1490;1072.1359
1491;1129.5083
1492;1130.4527
1493;1953.5048
1494;1535.8232
1495;1536.7480
1496;1435.2248
1497;1196.9558
1498;1197.8426
1499;1269.2422
1500;1799.0010
1501;1137.1560
1502;1138.0990
1503;1802.9046
1504;1443.2556
1505;942.2073
1506;2167.9749
1507;986.3964
1508;1034.3113
1509;1552.3904
1510;2415.7044
1511;1673.2554
1512;1554.6547
1513;2721.5118
1514;1361.6872
1515;1362.6034
1516;1091.0295
1517;1284.5031
1518;1560.6800
1519;1821.6882
1520;1682.4778
1521;1216.0644
1522;1217.0063
1523;1217.9490
1524;1687.3102
1525;1371.8717
1526;1098.4428
1527;1157.1970
1528;1466.7105
1529;1000.9809
1530;1296.2544
1531;2004.1197
1532;1378.7653
1533;3152.3176
1534;2759.1484
1535;1380.5060
1536;1700.0033
1537;2210.8944
1538;1382.7452
1539;1107.1448
1540;1704.2192
1541;1583.4070
1542;964.7224
1543;1306.1490
1544;1307.0808
1545;1308.0185
1546;1112.7630
1547;2024.0137
1548;2227.3136
1549;1485.8037
1550;1715.3046
1551;2788.2392
1552;1395.0531
1553;2232.8821
1554;1489.5159
1555;1242.2041
1556;639.8086
1557;2036.6598
1558;2037.5340
1559;1401.7384
1560;1246.9307
1561;1021.1653
1562;1070.7378
1563;1730.5537
1564;1500.7442
1565;1501.6728
1566;1325.9426
1567;1610.9947
1568;1128.6433
1569;1613.2742
1570;904.3883
1571;1330.9206
1572;1741.3510
1573;1617.8916
1574;1888.4510
1575;872.5530
1576;2836.6528
1577;908.6772
1578;1515.3906
1579;1263.7596
1580;1517.4426
1581;3794.4126
1582;1265.7456
1583;1036.5623
1584;1521.2226
1585;1756.1758
1586;1631.6585
1587;2077.5626
1588;2286.2167
1589;2287.0149
1590;2859.6413
1591;916.0401
1592;1273.2190
1593;2084.3498
1594;918.0694
1595;2087.4234
1596;1767.1170
1597;1641.8207
1598;1916.3725
1599;1917.2853
1600;2301.6407
1601;1644.9484
1602;2559.6950
1603;2560.4663
1604;1921.2643
1605;1153.7057
1606;1539.2005
1607;1776.9151
1608;1100.9438
1609;2312.8726
1610;1157.3825
1611;2105.2342
1612;3309.0639
1613;2896.2872
1614;1545.6167
1615;2108.5512
1616;1785.0788
1617;1009.8909
1618;1106.9977
1619;2906.7364
1620;2326.2529
1621;1939.4389
1622;1940.3511
1623;1370.5934
1624;2118.9158
1625;1295.8285
1626;898.0710
1627;1797.0626
1628;1669.6233
1629;1114.0329
1630;1114.9804
1631;1301.7530
1632;1953.5437
1633;1675.3917
1634;1466.8408
1635;2134.4916
1636;2348.7118
1637;1022.1278
1638;1959.9850
1639;2614.1941
1640;1471.4131
1641;2943.6995
1642;4710.7155
1643;1071.5709
1644;1310.6233
1645;1073.2798
1646;5903.7567
1647;2624.7764
1648;1969.4932
1649;1075.2047
1650;3380.0639
1651;1820.9548
1652;2631.1521
1653;1692.3773
1654;988.1716
1655;1186.7502
1656;2158.6338
1657;1827.4510
1658;3394.6650
1659;2161.1469
1660;2378.1514
1661;2162.8607
1662;1322.6902
1663;1701.5288
1664;1324.3531
1665;2168.0285
1666;1256.1191
1667;1326.8185
1668;1593.1112
1669;1594.0423
1670;2989.7026
1671;2392.6338
1672;1197.2622
1673;1409.4825
1674;1332.0579
1675;2180.6371
1676;1263.4195
1677;1601.2606
1678;1413.8142
1679;1503.1140
1680;1415.6305
1681;1003.6536
1682;2190.6942
1683;1607.4083
1684;1855.5076
1685;1270.5041
1686;929.4057
1687;1511.2085
1688;1209.9135
1689;1424.3592
1690;1275.3669
1691;2693.3246
1692;1276.7291
1693;1618.1198
1694;1867.9831
1695;1868.9048
1696;2700.4122
1697;1280.0861
1698;2703.2892
1699;1058.7627
1700;2436.0420
1701;1354.2947
1702;1016.6783
1703;1356.5143
1704;2035.6862
1705;2036.5182
1706;1358.6211
1707;2038.8467
1708;1530.0664
1709;2041.0037
1710;1065.8226
1711;2229.3537
1712;2453.1863
1713;1116.0351
